"name","cat"
"M3_A08","CCIiFib"
"M3_A09","CCIiCM"
"M3_A10","CCAiCM"
"M3_B01","CCIipCM"
"M3_B02","CCIiCM"
"M3_B04","CCIipCM"
"M3_B05","CCIiFib"
"M3_B06","CCIipCM"
"M3_B07","CCAiCM"
"M3_B08","CCIipCM"
"M3_B09","CCAiCM"
"M3_B10","CCIiCM"
"M3_B11","CCIiCM"
"M3_C01","CCAiCM"
"M3_C02","CCIiCM"
"M3_C04","CCIiFib"
"M3_C07","CCIipCM"
"M3_C09","CCIipCM"
"M3_C10","CCIipCM"
"M3_C11","CCAiFib"
"M3_D02","CCIiFib"
"M3_D03","CCIipCM"
"M3_D04","CCIipCM"
"M3_D05","CCIiFib"
"M3_D08","CCIipCM"
"M3_D09","CCIiFib"
"M3_D10","CCIiFib"
"M3_D11","CCIipCM"
"M3_E03","CCIipCM"
"M3_E04","CCIipCM"
"M3_E05","CCIiFib"
"M3_E06","CCIiFib"
"M3_E07","CCIipCM"
"M3_E08","CCIiCM"
"M3_E09","CCIiFib"
"M3_E11","CCIFib"
"M3_F02","CCIipCM"
"M3_F03","CCIipCM"
"M3_F07","CCIiCM"
"M3_F10","CCAiCM"
"M3_F11","CCIipCM"
"M3_G02","CCIipCM"
"M3_G05","CCIipCM"
"M3_G07","CCIFib"
"M3_G09","CCIipCM"
"M3_G10","CCIiFib"
"M3_H01","CCIiCM"
"M3_H03","CCIipCM"
"M3_H04","CCIipCM"
"M3_H05","CCIipCM"
"M3_H06","CCIiFib"
"M3_H08","CCIiFib"
"M4_A01","CCAiFib"
"M4_A03","CCIFib"
"M4_A04","CCIiCM"
"M4_A05","CCAFib"
"M4_A07","CCIipCM"
"M4_A08","CCIipCM"
"M4_A09","CCIFib"
"M4_A10","CCAiFib"
"M4_A11","CCIipCM"
"M4_B02","CCIipCM"
"M4_B04","CCIFib"
"M4_B05","CCIiFib"
"M4_B06","CCAFib"
"M4_B07","CCIipCM"
"M4_B08","CCIiFib"
"M4_B09","CCIiCM"
"M4_B11","CCIFib"
"M4_C02","CCAFib"
"M4_C05","CCIFib"
"M4_C06","CCIFib"
"M4_C07","CCIFib"
"M4_C08","CCIiFib"
"M4_C09","CCAiFib"
"M4_C10","CCIiCM"
"M4_C11","CCIFib"
"M4_D01","CCIipCM"
"M4_D02","CCAFib"
"M4_D03","CCIipCM"
"M4_D04","CCAFib"
"M4_D05","CCIiFib"
"M4_D06","CCAFib"
"M4_D07","CCIipCM"
"M4_D09","CCIipCM"
"M4_D10","CCIiFib"
"M4_E01","CCIiFib"
"M4_E02","CCIipCM"
"M4_E03","CCIipCM"
"M4_E04","CCAiFib"
"M4_E06","CCIiFib"
"M4_E07","CCIiFib"
"M4_E08","CCIipCM"
"M4_E09","CCIFib"
"M4_F01","CCIiFib"
"M4_F02","CCAFib"
"M4_F03","CCIipCM"
"M4_F04","CCIFib"
"M4_F05","CCIiCM"
"M4_F06","CCIFib"
"M4_F07","CCIiFib"
"M4_F09","CCIiFib"
"M4_F10","CCIipCM"
"M4_G01","CCIipCM"
"M4_G02","CCIFib"
"M4_G03","CCIiFib"
"M4_G04","CCAFib"
"M4_G05","CCIipCM"
"M4_G06","CCIFib"
"M4_G07","CCIiFib"
"M4_G08","CCIFib"
"M4_G09","CCIiFib"
"M4_H01","CCIiFib"
"M4_H02","CCAiFib"
"M4_H04","CCIFib"
"M4_H05","CCAiFib"
"M4_H07","CCIipCM"
"M4_H08","CCIiCM"
"M4_H09","CCIipCM"
"M5_A04","CCIFib"
"M5_A05","CCIipCM"
"M5_A06","CCIiFib"
"M5_A07","CCAFib"
"M5_A08","CCIFib"
"M5_A09","CCAiCM"
"M5_B01","CCAFib"
"M5_B03","CCIFib"
"M5_B07","CCIipCM"
"M5_B08","CCAFib"
"M5_B09","CCIFib"
"M5_C04","CCIFib"
"M5_C05","CCIiFib"
"M5_C06","CCIFib"
"M5_C08","CCAiFib"
"M5_D01","CCIFib"
"M5_D02","CCIiFib"
"M5_D03","CCIFib"
"M5_D04","CCIipCM"
"M5_D08","CCIiCM"
"M5_E01","CCIFib"
"M5_E02","CCIiCM"
"M5_E04","CCAFib"
"M5_E05","CCIFib"
"M5_E07","CCIipCM"
"M5_E08","CCAFib"
"M5_F01","CCIFib"
"M5_F02","CCIFib"
"M5_F03","CCAiCM"
"M5_F04","CCAiFib"
"M5_F05","CCIFib"
"M5_F06","CCIipCM"
"M5_F07","CCIFib"
"M5_F08","CCIiFib"
"M5_G02","CCIipCM"
"M5_G03","CCIiCM"
"M5_G04","CCIFib"
"M5_G05","CCIipCM"
"M5_G06","CCIFib"
"M5_G07","CCIiFib"
"M5_G08","CCIFib"
"M5_H01","CCIiCM"
"M5_H02","CCIiCM"
"M5_H06","CCAiFib"
"M5_H07","CCIipCM"
"C2_A01","CCIFib"
"C2_A02","CCIFib"
"C2_A03","CCIiFib"
"C2_A04","CCIFib"
"C2_A06","CCIFib"
"C2_A08","CCAFib"
"C2_A10","CCAiFib"
"C2_A11","CCAFib"
"C2_B01","CCIFib"
"C2_B02","CCIFib"
"C2_B03","CCAFib"
"C2_B04","CCIiFib"
"C2_B05","CCIFib"
"C2_B06","CCIiFib"
"C2_B07","CCIiFib"
"C2_B08","CCIiFib"
"C2_B09","CCIiFib"
"C2_B10","CCIiFib"
"C2_B11","CCIFib"
"C2_B12","CCIFib"
"C2_C02","CCIFib"
"C2_C03","CCIFib"
"C2_C04","CCIiFib"
"C2_C06","CCIFib"
"C2_C07","CCAFib"
"C2_C08","CCIFib"
"C2_C09","CCIFib"
"C2_C10","CCIiFib"
"C2_C11","CCAFib"
"C2_C12","CCIFib"
"C2_D01","CCIFib"
"C2_D02","CCIFib"
"C2_D03","CCIFib"
"C2_D04","CCIFib"
"C2_D05","CCIFib"
"C2_D06","CCIFib"
"C2_D08","CCIiFib"
"C2_D09","CCIFib"
"C2_D10","CCAFib"
"C2_D11","CCIFib"
"C2_E02","CCIFib"
"C2_E03","CCIFib"
"C2_E05","CCIFib"
"C2_E07","CCIFib"
"C2_E08","CCIiFib"
"C2_E09","CCIiFib"
"C2_E10","CCIFib"
"C2_E11","CCIFib"
"C2_F01","CCIFib"
"C2_F02","CCIFib"
"C2_F05","CCIFib"
"C2_F06","CCIFib"
"C2_F08","CCAiFib"
"C2_F10","CCAFib"
"C2_F11","CCIiFib"
"C2_G01","CCIiFib"
"C2_G02","CCIFib"
"C2_G03","CCAiFib"
"C2_G04","CCAFib"
"C2_G05","CCIiFib"
"C2_G06","CCIFib"
"C2_G08","CCIFib"
"C2_G09","CCAFib"
"C2_G10","CCAFib"
"C2_G11","CCAiFib"
"C2_H01","CCIFib"
"C2_H02","CCIFib"
"C2_H03","CCIFib"
"C2_H05","CCIFib"
"C2_H06","CCIFib"
"C2_H07","CCAiFib"
"C2_H08","CCAFib"
"C2_H10","CCIFib"
