1500015O10Rik
2700094K13Rik
2810417H13Rik
4632434I11Rik
9930013L23Rik
Abcg1
Acaa2
Acot2
Acta2
Adam12
Adamts5
Adamtsl3
Adcy6
Adm
Akr1b8
Aldh1a1
Aldh6a1
Ank
Anln
Arhgap11a
Arhgap31
Arhgap44
Art3
Asf1b
Asns
Aspm
Aspn
Aurka
Aurkb
B3galt1
Baiap2l1
Bcat1
Bdnf
Bgn
Bhlhe41
Birc5
Brca2
Bub1
Bub1b
C330027C09Rik
Camk1d
Casc5
Casp4
Ccdc141
Ccdc34
Ccl2
Ccna2
Ccnb1
Ccnb2
Cd200
Cd24a
Cd93
Cdc20
Cdc25c
Cdc45
Cdc7
Cdca2
Cdca3
Cdca8
Cdk1
Cdkn2d
Cdkn3
Cenpa
Cenpe
Cenph
Cenpi
Cenpk
Cenpm
Cenpn
Cenpp
Cenpq
Cenpw
Cep55
Cfh
Chaf1a
Chaf1b
Ckap2
Ckap2l
Cks1b
Cks2
Clca1
Clca2
Clip3
Clspn
Clu
Col11a1
Col14a1
Col1a2
Col3a1
Col6a1
Col8a1
Cp
Crispld2
Csrp3
Ctps
Cxcl1
Dbf4
Dclk1
Dcxr
Ddit4l
Depdc1a
Dhfr
Dhrs3
Diap3
Dnajc9
Dnmt1
Dpep1
Dpt
Dsp
Dtl
Dut
Ecscr
Ect2
Eda2r
Efemp1
Efhd2
Ehd4
Eln
Emp1
Eno3
Epas1
Epb4.1
Eps8
Ercc6l
Ereg
Esco2
Ezh2
F11r
Fabp3
Fam111a
Fam134b
Fam196a
Fam198b
Fam64a
Fancb
Fblim1
Fbln2
Fbln5
Fbn1
Fbxo5
Fcgrt
Fhl2
Fhod3
Fibin
Figf
Fignl1
Fndc1
Foxm1
Foxp2
Fryl
Frzb
Fstl1
G0s2
Gas6
Gdf6
Gemin6
Gins2
Gmnn
Gpc6
Gpnmb
Gpx3
Gria3
Gstm1
Gstm2
Gucy1a3
Hat1
Haus3
Haus6
Haus8
Hbegf
Hells
Hipk2
Hmgb2
Hmgb3
Hmmr
Hs6st2
Hsd11b1
Hspb7
I830012O16Rik
Ifi44
Ifit3
Igf1
Il6
Ildr2
Incenp
Iqgap3
Irgm1
Itgb5
Jag1
Jam2
Jup
Kank1
Kcne4
Kdm5b
Kif14
Kif1a
Kif20a
Kif20b
Kif22
Kif23
Kif2c
Kif4
Knstrn
Kntc1
Lama2
Ldb3
Ldhb
Lgals3
Lig1
Lox
Loxl1
Lrrc32
Lsm3
Lum
Mad2l1
Man2a1
Mastl
Mcm3
Mcm4
Mcm5
Mcm6
Mcm7
Melk
Mfap4
Mgat4a
Mgst3
Mis18a
Mis18bp1
Mki67
Mlana
Mlf1
Mmp16
Mmp2
Mrc2
Mthfd2
Mtss1
Mustn1
Myc
Myl4
Myl7
Myl9
Nasp
Ncapd2
Ncapd3
Ncapg
Ncapg2
Ncaph
Ndc80
Nedd9
Nid2
Nnmt
Npnt
Nrep
Nt5dc2
Nuf2
Nup107
Nup37
Nup62
Nup85
Nup93
Nupr1
Nusap1
Ogn
Oip5
Olfml3
Osmr
Ostm1
Pappa
Parm1
Parpbp
Pbk
Pcdh9
Pcyt1a
Pde1a
Pde4b
Pdgfrb
Pdgfrl
Pdlim2
Pdlim3
Pdpn
Perp
Pgam2
Phgdh
Phyhd1
Pkia
Plk1
Plk4
Plscr2
Pmepa1
Pmf1
Pole
Postn
Ppm1h
Ppp1r3c
Prc1
Prelp
Prim1
Prim2
Psat1
Psmc3ip
Ptk2b
Ptn
Ptprb
Pttg1
Rad18
Rad51
Rad51ap1
Rai14
Rangap1
Rbms3
Rbp1
Rfc2
Rfc4
Rfc5
Rin2
Rogdi
Rpa2
Rrad
Rragd
Rrm1
Rrm2
Runx1t1
Ryr2
Sdpr
Serpine2
Serpinf1
Sgol1
Shb
Shcbp1
Sidt2
Ska1
Ska2
Slc29a1
Slc43a3
Slc9a3r1
Smc2
Smc4
Smpx
Sms
Sorbs2
Sort1
Sox9
Spag5
Spc25
Spdl1
Spon2
Spry1
Spry2
Srpx2
Stil
Stmn1
Stmn1-rs1
Suv39h1
Svep1
Syne2
Tacc3
Tagln
Tagln2
Tcf21
Tcn2
Tfpi
Tgm2
Thbs2
Thsd7a
Tipin
Tk1
Tm4sf1
Tmem119
Tmem150a
Tmem176a
Tmem176b
Tmem45a
Tmem47
Tmem48
Tmpo
Tnfrsf11b
Tnni3
Tnnt2
Top2a
Tpx2
Trib2
Trim59
Trip13
Trp53inp1
Trp53inp2
Tspan12
Ttk
Ttn
Tubb3
Ube2c
Ube2t
Uhrf1
Usp1
Usp28
Vcam1
Vrk1
Wisp2
Zbtb20
Zc2hc1a
Zwilch
